dttm,lon,lat,sst
2021-07-12T10:20:00.000Z,-159.375,0.125,27.539000000000044
2021-07-12T10:20:00.000Z,-159.125,0.125,27.451999999999998
2021-07-12T10:20:00.000Z,-158.875,0.125,27.224000000000046
2021-07-12T10:20:00.000Z,-158.625,0.125,27.290999999999997
2021-07-12T10:20:00.000Z,-158.375,0.125,27.38100000000003
2021-07-12T10:20:00.000Z,-158.125,0.125,27.355000000000018
2021-07-12T10:20:00.000Z,-157.875,0.125,27.198000000000036
2021-07-12T10:20:00.000Z,-157.625,0.125,27.090000000000032
2021-07-12T10:20:00.000Z,-157.375,0.125,27.116000000000042
2021-07-12T10:20:00.000Z,-157.125,0.125,27.16900000000004
2021-07-12T10:20:00.000Z,-156.875,0.125,27.197000000000003
2021-07-12T10:20:00.000Z,-156.625,0.125,27.199000000000012
2021-07-12T10:20:00.000Z,-156.375,0.125,27.110000000000014
2021-07-12T10:20:00.000Z,-156.125,0.125,27.086000000000013
2021-07-12T10:20:00.000Z,-155.875,0.125,27.057000000000016
2021-07-12T10:20:00.000Z,-155.625,0.125,27.05200000000002
2021-07-12T10:20:00.000Z,-155.375,0.125,27.033000000000015
2021-07-12T10:20:00.000Z,-155.125,0.125,27.063000000000045
2021-07-12T10:20:00.000Z,-154.875,0.125,27.096000000000004
2021-07-12T10:20:00.000Z,-154.625,0.125,27.12700000000001
2021-07-12T10:20:00.000Z,-154.375,0.125,27.052999999999997
2021-07-12T10:20:00.000Z,-154.125,0.125,26.985000000000014
2021-07-12T10:20:00.000Z,-153.875,0.125,26.994000000000028
2021-07-12T10:20:00.000Z,-153.625,0.125,27.114000000000033
2021-07-12T10:20:00.000Z,-153.375,0.125,27.214
2021-07-12T10:20:00.000Z,-153.125,0.125,27.108000000000004
2021-07-12T10:20:00.000Z,-152.875,0.125,27.137
2021-07-12T10:20:00.000Z,-152.625,0.125,27.128000000000043
2021-07-12T10:20:00.000Z,-152.375,0.125,27.076999999999998
2021-07-12T10:20:00.000Z,-152.125,0.125,27.08000000000004
2021-07-12T10:20:00.000Z,-151.875,0.125,27.06400000000002
2021-07-12T10:20:00.000Z,-151.625,0.125,27.101
2021-07-12T10:20:00.000Z,-151.375,0.125,27.016999999999996
2021-07-12T10:20:00.000Z,-151.125,0.125,26.947000000000003
2021-07-12T10:20:00.000Z,-150.875,0.125,26.903999999999996
2021-07-12T10:20:00.000Z,-150.625,0.125,26.870000000000005
2021-07-12T10:20:00.000Z,-150.375,0.125,26.716000000000008
2021-07-12T10:20:00.000Z,-150.125,0.125,26.790999999999997
2021-07-12T10:20:00.000Z,-149.875,0.125,26.762
2021-07-12T10:20:00.000Z,-149.625,0.125,26.861000000000047
2021-07-12T10:20:00.000Z,-149.375,0.125,26.775000000000034
2021-07-12T10:20:00.000Z,-149.125,0.125,26.87700000000001
2021-07-12T10:20:00.000Z,-148.875,0.125,26.807000000000016
2021-07-12T10:20:00.000Z,-148.625,0.125,26.68900000000002
2021-07-12T10:20:00.000Z,-148.375,0.125,26.838000000000022
2021-07-12T10:20:00.000Z,-148.125,0.125,26.867999999999995
2021-07-12T10:20:00.000Z,-147.875,0.125,26.84200000000004
2021-07-12T10:20:00.000Z,-147.625,0.125,26.80400000000003
2021-07-12T10:20:00.000Z,-147.375,0.125,26.774
2021-07-12T10:20:00.000Z,-147.125,0.125,26.721000000000004
2021-07-12T10:20:00.000Z,-146.875,0.125,26.674000000000035
2021-07-12T10:20:00.000Z,-146.625,0.125,26.668000000000006
2021-07-12T10:20:00.000Z,-146.375,0.125,26.711000000000013
2021-07-12T10:20:00.000Z,-146.125,0.125,26.766999999999996
2021-07-12T10:20:00.000Z,-145.875,0.125,26.772000000000048
2021-07-12T10:20:00.000Z,-145.625,0.125,26.78200000000004
2021-07-12T10:20:00.000Z,-145.375,0.125,26.84400000000005
2021-07-12T10:20:00.000Z,-145.125,0.125,26.878000000000043
2021-07-12T10:20:00.000Z,-144.875,0.125,26.92500000000001
2021-07-12T10:20:00.000Z,-144.625,0.125,26.958000000000027
2021-07-12T10:20:00.000Z,-144.375,0.125,26.94300000000004
2021-07-12T10:20:00.000Z,-144.125,0.125,26.90300000000002
2021-07-12T10:20:00.000Z,-143.875,0.125,26.870000000000005
2021-07-12T10:20:00.000Z,-143.625,0.125,26.899
2021-07-12T10:20:00.000Z,-143.375,0.125,26.798000000000002
2021-07-12T10:20:00.000Z,-143.125,0.125,26.736000000000047
2021-07-12T10:20:00.000Z,-142.875,0.125,26.736000000000047
2021-07-12T10:20:00.000Z,-142.625,0.125,26.653999999999996
2021-07-12T10:20:00.000Z,-142.375,0.125,26.63900000000001
2021-07-12T10:20:00.000Z,-142.125,0.125,26.516999999999996
2021-07-12T10:20:00.000Z,-141.875,0.125,26.329000000000008
2021-07-12T10:20:00.000Z,-141.625,0.125,26.132000000000005
2021-07-12T10:20:00.000Z,-141.375,0.125,25.987000000000023
2021-07-12T10:20:00.000Z,-141.125,0.125,25.997000000000014
2021-07-12T10:20:00.000Z,-140.875,0.125,25.982000000000028
2021-07-12T10:20:00.000Z,-140.625,0.125,25.975000000000023
2021-07-12T10:20:00.000Z,-140.375,0.125,25.991000000000042
2021-07-12T10:20:00.000Z,-140.125,0.125,25.92900000000003
2021-07-12T10:20:00.000Z,-139.875,0.125,25.882000000000005
2021-07-12T10:20:00.000Z,-139.625,0.125,25.876000000000033
2021-07-12T10:20:00.000Z,-139.375,0.125,25.891999999999996
2021-07-12T10:20:00.000Z,-139.125,0.125,25.995000000000005
2021-07-12T10:20:00.000Z,-138.875,0.125,26.074000000000012
