lon,lat,dttm,chla
-180,23.25,2021-09-10T00:00:00.000Z,0.04761947877777778
-180,23.5,2021-09-10T00:00:00.000Z,0.04560875278571429
-180,23.75,2021-09-10T00:00:00.000Z,NA
-180,24,2021-09-10T00:00:00.000Z,0.04927438583333333
-180,24.25,2021-09-10T00:00:00.000Z,0.04491856344444444
-180,24.5,2021-09-10T00:00:00.000Z,0.04767702486666667
-180,24.75,2021-09-10T00:00:00.000Z,0.049271260125
-180,25,2021-09-10T00:00:00.000Z,0.04114856061538461
-180,25.25,2021-09-10T00:00:00.000Z,0.04402700346153846
-180,25.5,2021-09-10T00:00:00.000Z,0.04695148461111111
-180,25.75,2021-09-10T00:00:00.000Z,0.0502814643125
-180,26,2021-09-10T00:00:00.000Z,0.04831643725
-180,26.25,2021-09-10T00:00:00.000Z,0.046628363529411763
-180,26.5,2021-09-10T00:00:00.000Z,0.0447689208125
-180,26.75,2021-09-10T00:00:00.000Z,0.04417697622222222
-180,27,2021-09-10T00:00:00.000Z,0.0468532292
-180,27.25,2021-09-10T00:00:00.000Z,0.04660676047058823
-180,27.5,2021-09-10T00:00:00.000Z,0.04709514966666667
-180,27.75,2021-09-10T00:00:00.000Z,0.04693277429411765
-180,28,2021-09-10T00:00:00.000Z,0.044836459277777775
-180,28.25,2021-09-10T00:00:00.000Z,0.04786597305555555
-180,28.5,2021-09-10T00:00:00.000Z,0.051568312222222225
-180,28.75,2021-09-10T00:00:00.000Z,0.050224801944444446
-180,29,2021-09-10T00:00:00.000Z,0.04971085727777778
-180,29.25,2021-09-10T00:00:00.000Z,0.04808685083333333
-180,29.5,2021-09-10T00:00:00.000Z,0.04993789566666667
-180,29.75,2021-09-10T00:00:00.000Z,0.04991049633333333
-180,30,2021-09-10T00:00:00.000Z,0.04422569977777778
-180,30.25,2021-09-10T00:00:00.000Z,0.04745420327777777
-180,30.5,2021-09-10T00:00:00.000Z,0.051103411055555555
-180,30.75,2021-09-10T00:00:00.000Z,0.05082028683333333
-180,31,2021-09-10T00:00:00.000Z,0.05151152127777778
