dttm,lon,lat,sss
2014-11-01,-136.5,1.5,34.9464
2014-11-01,-135.5,1.5,34.9407
2014-11-01,-134.5,1.5,34.902
2014-11-01,-133.5,1.5,34.8648
2014-11-01,-132.5,1.5,34.828
2014-11-01,-131.5,1.5,34.7548
2014-11-01,-130.5,1.5,34.8419
2014-11-01,-129.5,1.5,34.7144
2014-11-01,-128.5,1.5,34.8209
2014-11-01,-127.5,1.5,34.7105
2014-11-01,-126.5,1.5,34.7848
2014-11-01,-125.5,1.5,34.6688
2014-11-01,-124.5,1.5,34.7801
2014-11-01,-123.5,1.5,34.8363
2014-11-01,-122.5,1.5,34.7154
2014-11-01,-121.5,1.5,34.6982
2014-11-01,-120.5,1.5,34.5924
2014-11-01,-119.5,1.5,34.6682
2014-11-01,-118.5,1.5,34.5873
2014-11-01,-117.5,1.5,34.5134
2014-11-01,-116.5,1.5,34.6498
2014-11-01,-115.5,1.5,34.4801
2014-11-01,-114.5,1.5,34.3821
2014-11-01,-113.5,1.5,34.3402
2014-11-01,-112.5,1.5,34.3222
2014-11-01,-111.5,1.5,34.2521
2014-11-01,-110.5,1.5,34.164
2014-11-01,-109.5,1.5,34.273
2014-11-01,-108.5,1.5,34.1463
2014-11-01,-107.5,1.5,33.9682
2014-11-01,-106.5,1.5,33.8658
2014-11-01,-105.5,1.5,33.8406
2014-11-01,-104.5,1.5,33.8688
2014-11-01,-103.5,1.5,33.7971
2014-11-01,-102.5,1.5,33.8006
2014-11-01,-101.5,1.5,33.7865
2014-11-01,-100.5,1.5,33.6727
2014-11-01,-99.5,1.5,33.4628
2014-11-01,-98.5,1.5,33.4336
2014-11-01,-97.5,1.5,33.4493
2014-11-01,-96.5,1.5,33.358
2014-11-01,-95.5,1.5,33.5355
2014-11-01,-94.5,1.5,33.4961
2014-11-01,-93.5,1.5,33.4397
2014-11-01,-92.5,1.5,33.3438
2014-11-01,-91.5,1.5,33.416
2014-11-01,-90.5,1.5,33.2915
2014-11-01,-179.5,2.5,34.6131
2014-11-01,-178.5,2.5,34.7314
2014-11-01,-177.5,2.5,34.8161
2014-11-01,-176.5,2.5,34.6407
2014-11-01,-175.5,2.5,34.6274
2014-11-01,-174.5,2.5,34.6947
2014-11-01,-173.5,2.5,34.7615
2014-11-01,-172.5,2.5,34.8433
2014-11-01,-171.5,2.5,34.9466
2014-11-01,-170.5,2.5,35.0274
2014-11-01,-169.5,2.5,34.8427
2014-11-01,-168.5,2.5,34.7554
