station,dttm,lon,lat,temp,sal,fluor,moon_phase,moon_mode,tow_dist,biomass,biodens,myct_num,myct_vol,ceph_num,ceph_vol,nekt_other_num,nekt_other_vol,nekt_total_num,nekt_total_vol,nekt_info,halo_num,gelat_num,gelat_vol,gelat_info,plas_pieces,plas_pellets,plas_density,tow_desc,cruise
S231-001-NT,2010-10-04T00:03:00.000Z,-118.35833333333333,33.46666666666667,20.6,33.57,4.1,0.15,risen,1682.9,41,0.02436270723156456,7,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,9,0,5347.911343514172,NA,S231
S231-002-NT,2010-10-04T11:51:00.000Z,-118.94833333333334,33.848333333333336,19.9,33.54,5.8,0.15,risen,1278.6,65,0.05083685280775849,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,4,0,3128.4217112466763,NA,S231
S231-004-NT,2010-10-05T12:22:00.000Z,-119.89166666666667,33.855,14.7,33.47,14.55,0.08,risen,1795.2,14,0.007798573975044563,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,0,NA,S231
S231-006-NT,2010-10-06T00:03:00.000Z,-121.30666666666667,33.92166666666667,15.3,33.49,15.1,0.08,risen,1596.1,156,0.0977382369525719,38,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,0,NA,S231
S231-007-NT,2010-10-06T12:01:00.000Z,-122.285,33.626666666666665,16.4,33.47,10.3,0.06,set,2242.3,20,0.008919413102617848,0,NA,NA,NA,NA,NA,NA,NA,NA,0,40,NA,NA,0,0,0,NA,S231
S231-008-NT,2010-10-06T23:36:00.000Z,-123.125,32.26,18.8,33.34,2.6,0,risen,2637.4,33,0.012512322742094486,2,NA,NA,NA,NA,NA,NA,NA,NA,13,23,NA,NA,0,0,0,NA,S231
S231-009-NT,2010-10-07T11:42:00.000Z,-123.895,31.121666666666666,19.3,33.37,2.56,0,risen,2395.3,773,0.32271531749676446,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,NA,NA,14,0,5844.779359579175,NA,S231
S231-011-NT,2010-10-07T23:37:00.000Z,-124.54166666666667,30.093333333333334,19.2,33.36,2.6,0,set,1143.58,127,0.11105475786564999,3,NA,NA,NA,NA,NA,NA,NA,NA,15,13.5,NA,NA,1,0,874.4469123279525,NA,S231
S231-012-NT,2010-10-08T12:02:00.000Z,-125.05,29.136666666666667,20.1,33.67,2.3,0.01,set,1726.85,12.2,0.007064886932854619,0,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,15,0,8686.33639285404,NA,S231
S231-013-NT,2010-10-09T00:09:00.000Z,-125.41666666666667,28.52,20.6,33.85,2.3,0.01,risen,2667.5,11,0.004123711340206186,10,NA,NA,NA,NA,NA,NA,NA,NA,62,6,NA,NA,112,1,42361.76194939081,NA,S231
S231-014-NT,2010-10-09T11:56:00.000Z,-125.77833333333334,28.023333333333333,20.9,33.85,2.4,0.01,set,1834.4,3,0.0016354121238552114,0,NA,NA,NA,NA,NA,NA,NA,NA,10,0,NA,NA,13,0,7086.78587003925,NA,S231
S231-016-NT,2010-10-10T00:13:00.000Z,-126.19666666666667,27.311666666666667,20.9,34.01,2.4,0.1,set,2543.8,18,0.007076027989621825,11,NA,NA,NA,NA,NA,NA,NA,NA,52,1,NA,NA,3,0,1179.3379982703043,NA,S231
S231-017-NT,2010-10-10T12:08:00.000Z,-126.59666666666666,26.585,21.1,34.14,2.4,0.1,set,1593.2,9.5,0.005962842078835049,0,NA,NA,NA,NA,NA,NA,NA,NA,10,3,NA,NA,15,0,9415.013808686921,NA,S231
S231-019-NT,2010-10-10T23:32:00.000Z,-127.065,25.943333333333335,21,34.08,2.5,0.1,set,1677.9,10,0.005959830740806961,13,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,2,1,1787.9492222420884,NA,S231
S231-020-NT,2010-10-11T11:53:00.000Z,-127.145,25.115,21.2,33.97,2.2,0.18,risen,2188,2,9.140767824497258e-4,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,11,0,5027.422303473492,NA,S231
S231-021-NT,2010-10-12T00:17:00.000Z,-127.21666666666667,24.426666666666666,21.4,33.94,2.2,0.27,risen,2036,4,0.0019646365422396855,2,NA,NA,NA,NA,NA,NA,NA,NA,12,1,NA,NA,10,0,4911.591355599214,NA,S231
S231-022-NT,2010-10-12T11:50:00.000Z,-127.465,23.913333333333334,21.6,34.18,2.2,0.27,risen,2442.1,5,0.002047418205642685,0,NA,NA,NA,NA,NA,NA,NA,NA,3,0,NA,NA,69,0,28254.371237869047,NA,S231
S231-023-NT,2010-10-13T00:06:00.000Z,-128.075,23,22.3,34.58,2.2,0.36,set,3011.1,48,0.015941018232539603,9,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,24,0,7970.509116269802,NA,S231
S231-024-NT,2010-10-13T11:31:00.000Z,-128.63666666666666,22.03,23.1,34.7,2,0.36,set,2065.9,179,0.08664504574277554,0,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,NA,17,0,8228.859092889295,NA,S231
S231-025-NT,2010-10-14T00:06:00.000Z,-129.34333333333333,20.628333333333334,23.8,34.76,2.2,0.46,set,2263.2,6,0.002651113467656416,11,NA,NA,NA,NA,NA,NA,NA,NA,43,1,NA,NA,78,1,34906.32732414281,NA,S231
S231-026-NT,2010-10-14T12:04:00.000Z,-129.72333333333333,20.038333333333334,24.7,34.7,2.2,0.46,risen,1998.5,5,0.002501876407305479,0,NA,NA,NA,NA,NA,NA,NA,NA,52,0,NA,NA,21,0,10507.880910683012,NA,S231
S231-028-NT,2010-10-15T00:04:00.000Z,-130.03333333333333,19.5,24.8,34.7,2.2,0.56,set,1830.3,18,0.009834453368300279,5,NA,NA,NA,NA,NA,NA,NA,NA,70,3,NA,NA,7,0,3824.509643227886,NA,S231
S231-029-NT,2010-10-15T11:40:00.000Z,-130.51666666666668,18.64,25.4,34.56,2.3,0.56,risen,2086.2,1.5,7.190106413574921e-4,0,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,7,0,3355.3829930016304,NA,S231
S231-030-NT,2010-10-16T00:01:00.000Z,-131.08,17.541666666666668,25.5,34.52,2.4,0.65,risen,1709.6,11,0.006434253626579317,6,NA,NA,NA,NA,NA,NA,NA,NA,54,5,NA,NA,15,0,8773.982218062703,NA,S231
S231-031-NT,2010-10-16T11:51:00.000Z,-131.395,16.72,26.7,34.4,2.2,0.65,set,3067.2,2,6.520605112154408e-4,0,NA,NA,NA,NA,NA,NA,NA,NA,44,1,NA,NA,13,0,4238.393322900365,NA,S231
S231-032-NT,2010-10-17T00:15:00.000Z,-132.035,15.458333333333334,26.9,34.49,2.1,0.74,risen,2533.2,9,0.0035528185693983897,8,NA,NA,NA,NA,NA,NA,NA,NA,7,3.5,NA,NA,2,0,789.5152376440866,NA,S231
S231-033-NT,2010-10-17T12:21:00.000Z,-132.60833333333332,14.505,27.3,34,2.2,0.74,set,2035.5,5.5,0.002702038811102923,0,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,3,0,1473.8393515106854,NA,S231
S231-034-NT,2010-10-17T23:12:00.000Z,-133.13166666666666,13.795,27,33.4,3.16,0.82,risen,2146.8,39.5,0.018399478293273708,0,NA,NA,NA,NA,NA,NA,NA,NA,20,1.5,NA,NA,1,0,465.809577044904,NA,S231
S231-035-NT,2010-10-18T11:33:00.000Z,-133.65,12.888333333333334,27,33.63,2.5,0.82,risen,2330.7,12,0.005148667782211353,0,NA,NA,NA,NA,NA,NA,NA,NA,14,11,NA,NA,5,0,2145.2782425880637,NA,S231
S231-036-NT,2010-10-18T23:29:00.000Z,-133.92833333333334,11.983333333333333,27.1,33.96,2.9,0.82,risen,3459.1,28,0.008094591078604262,11,NA,NA,NA,NA,NA,NA,NA,NA,111,1,NA,NA,1,0,289.0925385215807,NA,S231
S231-037-NT,2010-10-19T12:01:00.000Z,-134.40333333333334,11.008333333333333,27,33.85,3.6,0.88,set,3478.5,20,0.005749604714675866,0,NA,NA,NA,NA,NA,NA,NA,NA,23,4,NA,NA,1,1,574.9604714675866,NA,S231
S231-039-NT,2010-10-20T00:06:00.000Z,-134.94166666666666,10.181666666666667,26.5,33.6,5.3,0.94,set,2246.5630641897756,51,0.022701343582532896,4,NA,NA,NA,NA,NA,NA,NA,NA,65,6,NA,NA,1,0,445.12438397123327,NA,S231
S231-040-NT,2010-10-20T12:03:00.000Z,-134.97666666666666,9.356666666666667,27.7,32.91,2,0.94,set,3435.4,3,8.732607556616405e-4,0,NA,NA,NA,NA,NA,NA,NA,NA,41,4,NA,NA,2,0,582.1738371077604,NA,S231
S231-041-NT,2010-10-21T00:13:00.000Z,-134.91666666666666,8.515,27.9,34.19,3,0.97,risen,2087.4,32,0.015330075692248729,9,NA,NA,NA,NA,NA,NA,NA,NA,1,16,NA,NA,0,0,0,NA,S231
S231-042-NT,2010-10-21T11:39:00.000Z,-135.06333333333333,7.758333333333333,27.1,34.65,4.4,0.97,set,1330.9,20,0.015027425050717559,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,0,NA,S231
S231-044-NT,2010-10-22T00:03:00.000Z,-135.215,7.183333333333334,25.8,34.42,6.8,1,risen,1968.6,194,0.09854719089708423,5,NA,NA,NA,NA,NA,NA,NA,NA,0,44,NA,NA,0,0,0,NA,S231
S231-045-NT,2010-10-22T12:06:00.000Z,-135.37,6.581666666666667,26.3,34.39,3.7,1,set,1852,30,0.016198704103671708,0,NA,NA,NA,NA,NA,NA,NA,NA,0,11,NA,NA,1,0,539.9568034557236,NA,S231
S231-047-NT,2010-10-23T00:01:00.000Z,-135.87666666666667,5.948333333333333,26,34.24,7.9,1,risen,926,46,0.04967602591792657,11,NA,NA,NA,NA,NA,NA,NA,NA,0,27,NA,NA,0,0,0,NA,S231
S231-048-NT,2010-10-23T12:20:00.000Z,-136.44166666666666,5.426666666666667,26.7,34.53,2.7,1,set,2310.7,4,0.0017310771627645303,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,0,0,0,NA,S231
S231-049-NT,2010-10-24T00:25:00.000Z,-137.05833333333334,5.253333333333333,26.3,34.49,7.2,0.98,risen,3144.8,42,0.013355380310353599,26,NA,NA,NA,NA,NA,NA,NA,NA,0,7.5,NA,NA,0,0,0,NA,S231
S231-050-NT,2010-10-24T11:47:00.000Z,-137.62,6.098333333333334,26,34.38,3.4,0.98,set,2407.6,8,0.003322811098189068,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,0,NA,S231
S231-051-NT,2010-10-25T00:01:00.000Z,-138.22,7.193333333333333,27.1,34.8,7.7,0.98,risen,2037.2,33,0.016198704103671704,6,NA,NA,NA,NA,NA,NA,NA,NA,0,2.5,NA,NA,0,0,0,NA,S231
S231-052-NT,2010-10-25T11:46:00.000Z,-138.66666666666666,7.88,27.2,34.76,5,0.94,set,1666.8,20,0.011999040076793857,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,0,0,0,NA,S231
S231-053-NT,2010-10-26T00:02:00.000Z,-139.00166666666667,8.61,27.7,34.01,4.3,0.94,risen,2200,36,0.016363636363636365,16,NA,NA,NA,NA,NA,NA,NA,NA,14,11,NA,NA,0,0,0,NA,S231
S231-054-NT,2010-10-26T11:17:00.000Z,-139.6,9.388333333333334,27.9,33.53,2.6,0.88,set,1885.4,4,0.0021215657154980373,0,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,4,0,2121.565715498037,NA,S231
S231-055-NT,2010-10-27T00:11:00.000Z,-140.25333333333333,10.315,27.5,33.47,3.1,0.81,risen,1940.6,9,0.0046377409048747814,1,NA,NA,NA,NA,NA,NA,NA,NA,6,0,NA,NA,0,0,0,NA,S231
S231-056-NT,2010-10-27T11:21:00.000Z,-141.11333333333334,10.878333333333334,26.6,33.72,2.6,0.81,set,1950.2,7,0.003589375448671931,0,NA,NA,NA,NA,NA,NA,NA,NA,5,0,NA,NA,3,0,1538.3037637165417,NA,S231
S231-058-NT,2010-10-27T23:34:00.000Z,-141.955,11.29,26.6,34,3.2,0.81,risen,1413.7,20.5,0.014500954940935134,0,NA,NA,NA,NA,NA,NA,NA,NA,5,0.5,NA,NA,3,0,2122.090966966117,NA,S231
S231-059-NT,2010-10-28T11:28:00.000Z,-142.895,11.891666666666667,26.8,33.54,2.5,0.72,set,1755.1,24,0.013674434505156402,0,NA,NA,NA,NA,NA,NA,NA,NA,12,0.2,NA,NA,14,0,7976.7534613412345,NA,S231
S231-061-NT,2010-10-28T23:54:00.000Z,-143.72166666666666,12.32,27.1,33.66,2.7,0.72,risen,1312.3,46,0.03505296045111636,4,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,4,5,6858.187914348853,NA,S231
S231-062-NT,2010-10-29T11:21:00.000Z,-144.60833333333332,12.86,26.9,33.72,2.6,0.72,set,1149.9,14.5,0.012609792155839638,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,24,0,20871.380120010435,NA,S231
