station,dttm,lon,lat,temp,sal,fluor,moon_phase,moon_mode,tow_dist,biomass,biodens,myct_num,myct_vol,ceph_num,ceph_vol,nekt_other_num,nekt_other_vol,nekt_total_num,nekt_total_vol,nekt_info,halo_num,gelat_num,gelat_vol,gelat_info,plas_pieces,plas_pellets,plas_density,tow_desc,cruise
S231-064-NT,2010-10-31T11:18:00.000Z,-145.65,13.37,26.8,33.78,3,0.39,set,2333.8,6,0.002570914388550861,0,NA,NA,NA,NA,NA,NA,NA,NA,7,0,NA,NA,0,0,0,NA,S231
S231-065-NT,2010-11-01T00:05:00.000Z,-146.745,13.985,26.6,33.91,2.6,0.28,risen,2507.6,9,0.0035890891689264637,4,NA,NA,NA,NA,NA,NA,NA,NA,21,5,NA,NA,10,0,3987.8768543627375,NA,S231
S231-066-NT,2010-11-01T11:27:00.000Z,-147.59333333333333,14.29,26.8,33.95,2.4,0.28,set,3246.9,13,0.0040038190273799625,0,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,23,0,7083.679817672241,NA,S231
S231-067-NT,2010-11-02T00:03:00.000Z,-148.72833333333332,14.766666666666667,26.4,34.25,2.5,0.18,set,2222.4,15,0.006749460043196544,11,NA,NA,NA,NA,NA,NA,NA,NA,16,6,NA,NA,3,0,1349.8920086393086,NA,S231
S231-068-NT,2010-11-02T11:29:00.000Z,-149.47333333333333,15.228333333333333,26.5,34.5,2.2,0.18,set,2307.4,4.5,0.00195024703129063,0,NA,NA,NA,NA,NA,NA,NA,NA,22,0,NA,NA,29,1,13001.646875270866,NA,S231
S231-069-NT,2010-11-03T00:18:00.000Z,-150.31166666666667,16.055,26.6,34.34,2.3,0.1,risen,1095.3,11,0.010042910618095499,1,NA,NA,NA,NA,NA,NA,NA,NA,20,3,NA,NA,25,0,22824.796859307953,NA,S231
S231-070-NT,2010-11-03T12:41:00.000Z,-150.94333333333333,16.566666666666666,26.5,32.52,2.2,0.1,set,2239.7,3,0.0013394651069339645,0,NA,NA,NA,NA,NA,NA,NA,NA,30,0,NA,NA,2,1,1339.4651069339645,NA,S231
S231-071-NT,2010-11-04T00:05:00.000Z,-151.61166666666668,17.071666666666665,26.4,34.75,2.5,0.04,risen,1627.1,2,0.001229180751029439,1,NA,NA,NA,NA,NA,NA,NA,NA,14,3,NA,NA,6,0,3687.542253088317,NA,S231
S231-072-NT,2010-11-04T11:27:00.000Z,-152.32333333333332,17.635,25.8,35.11,3.2,0.04,set,2151.9,1,4.6470560899670055e-4,0,NA,NA,NA,NA,NA,NA,NA,NA,9,0,NA,NA,8,0,3717.6448719736045,NA,S231
S231-073-NT,2010-11-05T00:11:00.000Z,-153.12,18.05666666666667,26.1,34.82,2.4,0.04,set,1907.6,10,0.005242189138184106,14,NA,NA,NA,NA,NA,NA,NA,NA,10,0,NA,NA,0,0,0,NA,S231
