station,dttm,lon,lat,log,bottle,z,temp,sal,density,chla,po4,no3,sio2,o2_sens,o2_wink,pH,alk,cruise
S225-003-HC,2009-10-16T08:44:00.000Z,-118.43,33.53333333333333,81,13,0,21.9,33.4,NA,0.05411884264632731,0.33238922429763934,0.31,NA,NA,NA,8.033,NA,S225
S225-003-HC,2009-10-16T08:44:00.000Z,-118.43,33.53333333333333,81,12,15.6,15.84,33.32,24.49,0.0700039280384679,0.4932270438743704,0.018,NA,NA,NA,7.975,NA,S225
S225-003-HC,2009-10-16T08:44:00.000Z,-118.43,33.53333333333333,81,11,25.3,14.16,33.27,24.82,0.4824683866688774,0.20601665177306486,0.012,NA,NA,NA,7.905,NA,S225
S225-003-HC,2009-10-16T08:44:00.000Z,-118.43,33.53333333333333,81,10,35,13.22,33.27,25,0.21242193500248716,0.7746932281336498,0.618,NA,NA,NA,7.902,NA,S225
S225-003-HC,2009-10-16T08:44:00.000Z,-118.43,33.53333333333333,81,9,45.6,12.2,33.26,25.2,0.334572764052396,1.2974161417580259,2.469,NA,NA,NA,7.807,NA,S225
S225-003-HC,2009-10-16T08:44:00.000Z,-118.43,33.53333333333333,81,8,75.2,11.41,33.4,25.46,0.07630318603879953,1.5329286632810963,2.207,NA,NA,NA,7.747,NA,S225
S225-003-HC,2009-10-16T08:44:00.000Z,-118.43,33.53333333333333,81,7,100.3,10.76,33.55,25.69,0.08424572873486984,1.975232667117107,3.258,NA,NA,NA,7.679,NA,S225
S225-003-HC,2009-10-16T08:44:00.000Z,NA,NA,81,6,NA,9.95,33.77,26,NA,NA,NA,NA,NA,NA,NA,NA,S225
S225-003-HC,2009-10-16T08:44:00.000Z,NA,NA,81,5,NA,9.08,34.18,26.47,NA,NA,NA,NA,NA,NA,NA,NA,S225
S225-003-HC,2009-10-16T08:44:00.000Z,-118.43,33.53333333333333,81,4,350.1,8.24,34.25,26.65,NA,3.9971938275102974,6.535,NA,NA,NA,7.452,NA,S225
S225-003-HC,2009-10-16T08:44:00.000Z,-118.43,33.53333333333333,81,3,500.5,7,34.3,26.87,NA,4.129310607876898,6.829,NA,NA,NA,7.398,NA,S225
S225-003-HC,2009-10-16T08:44:00.000Z,-118.43,33.53333333333333,81,2,750,5.3,34.39,27.15,NA,4.634800897975196,7.122,NA,NA,NA,7.412,NA,S225
S225-003-HC,2009-10-16T08:44:00.000Z,-118.43,33.53333333333333,81,1,849.4,5.1,25.06,19.8,NA,4.720964015605588,5.55,NA,NA,NA,7.375,NA,S225
S225-008-HC,2009-10-18T10:11:00.000Z,-121.45666666666666,31.735,284,13,0,18.6,33.22,NA,0.025635241253523466,0.44727338113816145,0.126,NA,NA,NA,NA,NA,S225
S225-008-HC,2009-10-18T10:11:00.000Z,-121.45666666666666,31.735,284,12,19.6,19.67,33.51,23.71,0.025635241253523466,0.17155140472090818,0.038,NA,NA,NA,7.661644375562745,NA,S225
S225-008-HC,2009-10-18T10:11:00.000Z,-121.45666666666666,31.735,284,11,35.6,18.02,33.57,24.17,0.04234196899353341,0.36685447134979593,0.043,NA,NA,NA,8.003452613912252,NA,S225
S225-008-HC,2009-10-18T10:11:00.000Z,-121.45666666666666,31.735,284,10,44.9,16.22,33.37,24.44,0.04453301525451832,0.4932270438743704,0.048,NA,NA,NA,8.017001670634857,NA,S225
S225-008-HC,2009-10-18T10:11:00.000Z,-121.45666666666666,31.735,284,9,54.9,15.66,33.37,24.57,0.04617629995025701,0.48173862819031815,0.025,NA,NA,NA,7.995183361603072,NA,S225
S225-008-HC,2009-10-18T10:11:00.000Z,-121.45666666666666,31.735,284,8,75.7,14.68,33.29,24.72,0.09410543690930194,0.4932270438743704,0.002,NA,NA,NA,7.951601201688595,NA,S225
S225-008-HC,2009-10-18T10:11:00.000Z,-121.45666666666666,31.735,284,7,99.6,12.77,33.27,35.1,0.07794647073453823,0.7229953575554148,0.639,NA,NA,NA,7.903518775597499,NA,S225
S225-008-HC,2009-10-18T10:11:00.000Z,NA,NA,284,6,NA,10.12,33.5,25.76,NA,NA,NA,NA,NA,NA,NA,NA,S225
S225-008-HC,2009-10-18T10:11:00.000Z,NA,NA,284,5,NA,8.94,33.88,26.25,NA,NA,NA,NA,NA,NA,NA,NA,S225
S225-008-HC,2009-10-18T10:11:00.000Z,-121.45666666666666,31.735,284,4,399.9,6.53,34.13,26.79,NA,3.9684727883001676,2.783,NA,NA,NA,7.452,NA,S225
S225-008-HC,2009-10-18T10:11:00.000Z,-121.45666666666666,31.735,284,3,600.2,5.1,34.26,27.07,NA,4.399288376452126,5.257,NA,NA,NA,7.322281100915187,NA,S225
