station,dttm,lon,lat,log,bottle,z,temp,sal,density,chla,po4,no3,sio2,o2_sens,o2_wink,pH,alk,cruise
S237-001-HC,2011-10-04T12:21:00.000Z,-119.24333333333334,32.03,105.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S237
S237-001-HC,2011-10-04T12:21:00.000Z,-119.24333333333334,32.03,105.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S237
S237-001-HC,2011-10-04T12:21:00.000Z,-119.24333333333334,32.03,105.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S237
S237-001-HC,2011-10-04T12:21:00.000Z,-119.24333333333334,32.03,105.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S237
S237-001-HC,2011-10-04T12:21:00.000Z,-119.24333333333334,32.03,105.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S237
S237-001-HC,2011-10-04T12:21:00.000Z,-119.24333333333334,32.03,105.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S237
S237-001-HC,2011-10-04T12:21:00.000Z,-119.24333333333334,32.03,105.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S237
S237-001-HC,2011-10-04T12:21:00.000Z,-119.24333333333334,32.03,105.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S237
S237-001-HC,2011-10-04T12:21:00.000Z,-119.24333333333334,32.03,105.5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S237
S237-001-HC,2011-10-04T12:21:00.000Z,-119.24333333333334,32.03,105.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S237
S237-001-HC,2011-10-04T12:21:00.000Z,-119.24333333333334,32.03,105.5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S237
S237-001-HC,2011-10-04T12:21:00.000Z,-119.24333333333334,32.03,105.5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S237
