station,dttm,lon,lat,temp,sal,fluor,moon_phase,moon_mode,tow_dist,biomass,biodens,myct_num,myct_vol,ceph_num,ceph_vol,nekt_other_num,nekt_other_vol,nekt_total_num,nekt_total_vol,nekt_info,halo_num,gelat_num,gelat_vol,gelat_info,plas_pieces,plas_pellets,plas_density,tow_desc,cruise
S225-002-NT,2009-10-16T00:05:00.000Z,-118.235,33.35666666666667,20.1,33.5,6.2,0.04,set,2621,61,0.02327355971003434,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,9,0,3433.8038916444107,NA,S225
S225-003-NT,2009-10-16T10:48:00.000Z,-118.45,33.535,21.6,33.5,5.5,0.04,risen,2460.8,72,0.029258777633289986,0,NA,NA,NA,NA,NA,NA,NA,NA,0,5,NA,NA,0,0,0,NA,S225
S225-005-NT,2009-10-16T22:23:00.000Z,-118.915,33.35333333333333,21.6,33.4,4.84,0.033,set,1586.2,154,0.0970873786407767,17,NA,NA,NA,NA,NA,NA,NA,NA,0,22,NA,NA,0,0,0,NA,S225
S225-006-NT,2009-10-17T11:09:00.000Z,-119.98833333333333,33.16833333333334,19.3,33.3,5.33,0.01,risen,1894.2,30,0.015837820715869495,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,0,0,0,NA,S225
S225-007-NT,2009-10-17T23:25:00.000Z,-120.585,32.46,18.1,33.3,4.95,0.01,set,1852,31,0.01673866090712743,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,0,0,0,NA,S225
S225-008-NT,2009-10-18T11:43:00.000Z,-121.41166666666666,31.713333333333335,19.2,33.2,4.08,0,risen,1498.4,3,0.00200213561131874,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,0,NA,S225
S225-011-NT,2009-10-19T00:10:00.000Z,-122.06,30.901666666666667,19.5,33.3,3.95,0.02,set,1933.5,8.5,0.004396172743728989,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,0,0,0,NA,S225
S225-012-NT,2009-10-19T11:08:00.000Z,-122.73833333333333,30.381666666666668,19.1,33.2,4.2,0.02,set,1852,11,0.005939524838012959,0,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,0,0,0,NA,S225
S225-014-NT,2009-10-19T23:27:00.000Z,-123.08,29.661666666666665,19.4,33.17,4.1,0.02,risen,2145.2,39,0.018180123065448445,3,NA,NA,NA,NA,NA,NA,NA,NA,1,8,NA,NA,0,0,0,NA,S225
S225-015-NT,2009-10-20T11:44:00.000Z,-123.43,29.076666666666668,19.9,33.37,3.83,0.06,risen,2154.8,20.5,0.009513643957675885,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,0,0,0,NA,S225
S225-016-NT,2009-10-20T23:20:00.000Z,-124.03166666666667,28.268333333333334,20.3,33.5,3.82,0.06,set,1856.5,15,0.008079719903043361,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,0,0,0,NA,S225
S225-017-NT,2009-10-21T11:20:00.000Z,-124.52666666666667,27.576666666666668,21.7,34.25,3.64,0.12,risen,530,4,0.007547169811320755,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,0,NA,S225
S225-018-NT,2009-10-22T00:01:00.000Z,-125.035,26.60333333333333,21.8,33.95,3.56,0.19,set,1446,13,0.008990318118948824,0,NA,NA,NA,NA,NA,NA,NA,NA,10,1,NA,NA,0,0,0,NA,S225
S225-019-NT,2009-10-22T12:05:00.000Z,-125.48166666666667,25.976666666666667,22.2,34.1,3.6,0.19,set,2339,4,0.0017101325352714834,0,NA,NA,NA,NA,NA,NA,NA,NA,11,2,NA,NA,0,0,0,NA,S225
S225-020-NT,2009-10-23T00:00:00.000Z,-125.69166666666666,25.04,22.4,34.17,3.49,0.24,risen,1981,19,0.009591115598182737,11,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,0,0,0,NA,S225
S225-021-NT,2009-10-23T11:35:00.000Z,-125.84833333333333,24.341666666666665,22.8,34.62,3.56,0.36,risen,622.9,3.8,0.00610049767217852,0,NA,NA,NA,NA,NA,NA,NA,NA,9,1.5,NA,NA,0,0,0,NA,S225
S225-022-NT,2009-10-23T22:31:00.000Z,-126.12166666666667,23.666666666666668,23.4,34.75,3.54,0.36,set,1985.7,12,0.006043208943949237,2,NA,NA,NA,NA,NA,NA,NA,NA,63,9,NA,NA,0,0,0,NA,S225
S225-023-NT,2009-10-24T11:20:00.000Z,-126.49333333333334,22.986666666666668,23.9,34.69,3.49,0.36,risen,957.5,3.5,0.0036553524804177544,0,NA,NA,NA,NA,NA,NA,NA,NA,11,0.5,NA,NA,0,0,0,NA,S225
S225-024-NT,2009-10-24T23:23:00.000Z,-126.71166666666667,22.39,24.2,34.7,3.6,0.36,risen,839.2,10,0.011916110581506196,2,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,1,0,1191.6110581506193,NA,S225
S225-025-NT,2009-10-25T00:20:00.000Z,-127.485,20.413333333333334,24.57,34.84,3.54,0.55,risen,3113.3,12.5,0.004015032280859538,1,NA,NA,NA,NA,NA,NA,NA,NA,31,6,NA,NA,0,0,0,NA,S225
S225-026-NT,2009-10-26T11:21:00.000Z,-127.60833333333333,19.718333333333334,24.5,34.83,3.48,0.55,risen,2090.6,4,0.0019133263178035015,0,NA,NA,NA,NA,NA,NA,NA,NA,9,0,NA,NA,0,0,0,NA,S225
S225-027-NT,2009-10-26T23:09:00.000Z,-127.75833333333334,18.861666666666668,24.9,34.87,3.32,0.55,risen,2311,5.5,0.002379922111639983,0,NA,NA,NA,NA,NA,NA,NA,NA,35,3,NA,NA,0,0,0,NA,S225
S225-028-NT,2009-10-27T12:00:00.000Z,-127.98166666666667,18.145,26.1,NA,NA,0.64,risen,1893.6,2,0.0010561892691170259,0,NA,NA,NA,NA,NA,NA,NA,NA,16,0,NA,NA,0,0,0,NA,S225
S225-029-NT,2009-10-27T23:55:00.000Z,-128.50333333333333,17.32,26.4,34.6,3.19,0.64,risen,1967.5,5.5,0.0027954256670902162,9,NA,NA,NA,NA,NA,NA,NA,NA,10,2.5,NA,NA,0,0,0,NA,S225
S225-030-NT,2009-10-28T11:12:00.000Z,-128.915,16.718333333333334,26.54,34.41,3.28,0.64,risen,1379.4,5.25,0.003806002609830361,0,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,0,0,0,NA,S225
S225-031-NT,2009-10-29T11:09:00.000Z,-129.98166666666665,14.971666666666666,27.3,33.98,3.69,0.81,set,1960.9,32.5,0.01657402213269417,0,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,2,0,1019.9398235504104,NA,S225
S225-032-NT,2009-10-29T23:22:00.000Z,-130.645,14.313333333333333,27,33.94,3.59,0.81,risen,2023,22,0.010874938210578349,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,0,0,0,NA,S225
S225-033-NT,2009-10-30T11:58:00.000Z,-131.265,13.665,27.5,33.85,3.51,0.88,set,1972.4,14,0.007097951733928209,0,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,0,0,0,NA,S225
S225-034-NT,2009-10-30T22:18:00.000Z,-131.805,13.183333333333334,26.8,33.8,5.33,0.88,risen,1850.7,44,0.023774787918085048,29,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,0,NA,S225
S225-035-NT,2009-10-31T11:35:00.000Z,-132.39666666666668,12.581666666666667,28.6,33.4,4.11,0.94,set,1588.5,32,0.02014479068303431,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,13,0,8183.8212149826895,NA,S225
S225-036-NT,2009-11-01T00:07:00.000Z,-132.835,11.691666666666666,27,33.47,4.85,0.98,risen,1601.6,35,0.021853146853146856,0,NA,NA,NA,NA,NA,NA,NA,NA,3,0,NA,NA,0,0,0,NA,S225
S225-037-NT,2009-11-01T11:20:00.000Z,-133.01,10.983333333333333,29.2,33.56,3.41,0.98,risen,2004.8,7,0.003491620111731844,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,3,0,1496.4086193136473,NA,S225
